,Accuracy,F1,Precision,Recall,Precision-Recall Curve
id_296,0.8775764107704163,0.9222061038017273,0.9896878004074097,0.8633394837379456,"(tensor([0.8405, 0.9897, 1.0000]), tensor([1.0000, 0.8633, 0.0000]), tensor([0., 1.]))"
id_10,0.8786121010780334,0.9226709008216858,0.9930407404899597,0.8616142868995667,"(tensor([0.8405, 0.9930, 1.0000]), tensor([1.0000, 0.8616, 0.0000]), tensor([0., 1.]))"
id_134,0.8788192868232727,0.9228537678718567,0.9924833178520203,0.8623536825180054,"(tensor([0.8405, 0.9925, 1.0000]), tensor([1.0000, 0.8624, 0.0000]), tensor([0., 1.]))"
id_2,0.8800621628761292,0.923634946346283,0.9934742450714111,0.8629698157310486,"(tensor([0.8405, 0.9935, 1.0000]), tensor([1.0000, 0.8630, 0.0000]), tensor([0., 1.]))"
id_162,0.8807871341705322,0.9243211150169373,0.9908373355865479,0.8661737442016602,"(tensor([0.8405, 0.9908, 1.0000]), tensor([1.0000, 0.8662, 0.0000]), tensor([0., 1.]))"
id_124,0.8823407292366028,0.9251942038536072,0.9934945702552795,0.8656808137893677,"(tensor([0.8405, 0.9935, 1.0000]), tensor([1.0000, 0.8657, 0.0000]), tensor([0., 1.]))"
id_103,0.8821336030960083,0.9252594709396362,0.9905779957771301,0.8680222034454346,"(tensor([0.8405, 0.9906, 1.0000]), tensor([1.0000, 0.8680, 0.0000]), tensor([0., 1.]))"
id_185,0.8849300742149353,0.9269223213195801,0.9940744638442993,0.868268609046936,"(tensor([0.8405, 0.9941, 1.0000]), tensor([1.0000, 0.8683, 0.0000]), tensor([0., 1.]))"
id_102,0.8842051029205322,0.9271281957626343,0.9840874671936035,0.8764017224311829,"(tensor([0.8405, 0.9841, 1.0000]), tensor([1.0000, 0.8764, 0.0000]), tensor([0., 1.]))"
id_69,0.8858622312545776,0.9275571703910828,0.9940820336341858,0.8693776726722717,"(tensor([0.8405, 0.9941, 1.0000]), tensor([1.0000, 0.8694, 0.0000]), tensor([0., 1.]))"
id_346,0.8872087001800537,0.9288281202316284,0.9888672232627869,0.8756623268127441,"(tensor([0.8405, 0.9889, 1.0000]), tensor([1.0000, 0.8757, 0.0000]), tensor([0., 1.]))"
id_193,0.8877265453338623,0.9291039705276489,0.9899651408195496,0.8752926588058472,"(tensor([0.8405, 0.9900, 1.0000]), tensor([1.0000, 0.8753, 0.0000]), tensor([0., 1.]))"
id_1,0.8882444500923157,0.9292690753936768,0.9927170872688293,0.8734442591667175,"(tensor([0.8405, 0.9927, 1.0000]), tensor([1.0000, 0.8734, 0.0000]), tensor([0., 1.]))"
id_93,0.8885551691055298,0.929387092590332,0.9941036105155945,0.8725816607475281,"(tensor([0.8405, 0.9941, 1.0000]), tensor([1.0000, 0.8726, 0.0000]), tensor([0., 1.]))"
id_118,0.8884515762329102,0.9294833540916443,0.9916177988052368,0.874676525592804,"(tensor([0.8405, 0.9916, 1.0000]), tensor([1.0000, 0.8747, 0.0000]), tensor([0., 1.]))"
id_74,0.8885551691055298,0.9296915531158447,0.9895673990249634,0.8766481876373291,"(tensor([0.8405, 0.9896, 1.0000]), tensor([1.0000, 0.8766, 0.0000]), tensor([0., 1.]))"
id_319,0.889590859413147,0.9304903149604797,0.9880902767181396,0.8792359828948975,"(tensor([0.8405, 0.9881, 1.0000]), tensor([1.0000, 0.8792, 0.0000]), tensor([0., 1.]))"
id_18,0.8904194831848145,0.9309039115905762,0.9902737140655518,0.8782501816749573,"(tensor([0.8405, 0.9903, 1.0000]), tensor([1.0000, 0.8783, 0.0000]), tensor([0., 1.]))"
id_139,0.8908337354660034,0.9310028553009033,0.9930177330970764,0.8762785196304321,"(tensor([0.8405, 0.9930, 1.0000]), tensor([1.0000, 0.8763, 0.0000]), tensor([0., 1.]))"
id_194,0.8906266093254089,0.9311513900756836,0.9886474013328552,0.8799753785133362,"(tensor([0.8405, 0.9886, 1.0000]), tensor([1.0000, 0.8800, 0.0000]), tensor([0., 1.]))"
id_159,0.8926981091499329,0.9326485991477966,0.9870648384094238,0.8839186429977417,"(tensor([0.8405, 0.9871, 1.0000]), tensor([1.0000, 0.8839, 0.0000]), tensor([0., 1.]))"
id_275,0.8936302661895752,0.9329327940940857,0.9923589825630188,0.8802217841148376,"(tensor([0.8405, 0.9924, 1.0000]), tensor([1.0000, 0.8802, 0.0000]), tensor([0., 1.]))"
id_155,0.8939409852027893,0.9332550764083862,0.9905908107757568,0.8821934461593628,"(tensor([0.8405, 0.9906, 1.0000]), tensor([1.0000, 0.8822, 0.0000]), tensor([0., 1.]))"
id_206,0.8946659564971924,0.9338278770446777,0.9892473220825195,0.8842883706092834,"(tensor([0.8405, 0.9892, 1.0000]), tensor([1.0000, 0.8843, 0.0000]), tensor([0., 1.]))"
id_138,0.8952873945236206,0.9344485402107239,0.9860426783561707,0.8879852294921875,"(tensor([0.8405, 0.9860, 1.0000]), tensor([1.0000, 0.8880, 0.0000]), tensor([0., 1.]))"
id_208,0.8961160182952881,0.9345342516899109,0.9934776425361633,0.8821934461593628,"(tensor([0.8405, 0.9935, 1.0000]), tensor([1.0000, 0.8822, 0.0000]), tensor([0., 1.]))"
id_91,0.8962195515632629,0.9345697164535522,0.9940269589424133,0.8818237781524658,"(tensor([0.8405, 0.9940, 1.0000]), tensor([1.0000, 0.8818, 0.0000]), tensor([0., 1.]))"
